tconst,titleType,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0062336,movie,El Tango del Viudo y Su Espejo Deformante,0,2020,0,4200,Drama
tt0065392,movie,Amintiri bucurestene,0,2020,0,4000,Documentary
tt0120589,movie,,0,2020,0,2400,Drama
tt0368133,movie,The Promise of Perfume,0,2020,0,3420,Documentary
tt0383477,movie,Love & Orgasms,0,2020,0,4920,Drama
tt0446792,movie,Surviving in L.A.,0,2020,0,1893,"Comedy,Drama,Romance"
tt0451272,movie,Nefarious,0,2020,,2330,"Crime,Thriller"
tt0459225,movie,,0,2020,0,0,Drama
tt0805647,movie,The Witches,0,2020,0,6360,"Adventure,Comedy,Family"
tt0849437,movie,Duel of Legends,0,2020,0,5000,"Action,Drama,Sport"
tt9914286,,Sokagin Çocuklari,,,,5880,"Drama,Family"
tt9914368,movie,Kuttram Seiyel,0,2019,0,1200,"Action,Crime"
tt9914522,movie,The Holden Family Plan,0,2019,0,2500,"Drama,Family"
tt9914582,movie,,0,2019,0,4620,Documentary
tt9914942,movie,La vida sense la Sara Amat,0,2019,0,4440,Drama
tt9915436,movie,Vida em Movimento,0,2019,0,4200,Documentary
tt9915790,movie,Bobbyr Bondhura,0,2019,0,3000,Family
tt9915872,movie,My Girlfriend is a Wizard,0,2019,0,5820,"Comedy,Drama,Fantasy"
tt9916160,movie,Drømmeland,0,2019,0,4320,Documentary
tt9916170,movie,O Ensaio,0,2019,,6700,Drama
tt0111414,movie,A Thin Life,0,2018,0,4500,Comedy
tt0137818,movie,Housesitter: The Night They Saved Siegfried's Brain,,2018,,1459,Fantasy
tt0170651,movie,T.G.M. - osvoboditel,0,2018,0,3600,Documentary
tt0192528,movie,Reverse Heaven,0,2018,0,6240,Drama
tt0276568,movie,To Chase a Million,0,2018,0,5820,"Action,Drama"
tt0328810,movie,Aamaar Bhuvan,,2018,,3040,"Drama,Family"
tt0360556,movie,Fahrenheit 451,0,2018,0,6000,"Drama,Sci-Fi,Thriller"
tt0427543,movie,A Million Little Pieces,0,2018,0,6780,Drama
tt0432010,movie,The Queen of Sheba Meets the Atom Man,0,2018,0,6600,
tt9428190,movie,Norm of the North: King Sized Adventure,0,2019,0,5400,"Adventure,Animation,Comedy"
tt10324144,movie,Article 15,0,2019,0,7800,"Crime,Drama,Mystery"
tt7643622,movie,,,2019,,,Drama
tt10379012,movie,Speed Is My Need,0,2019,0,4500,"Documentary,Sport"
tt6032076,movie,Polar,0,2019,0,4860,"Comedy,Drama"
tt5316540,movie,Close,0,2019,0,5640,"Action,Drama,Thriller"
tt8960204,movie,Asih,0,2018,0,4620,Horror
tt8961266,movie,Andy Irons: Kissed by God,0,2018,0,6000,Documentary
tt8961466,movie,Paak,0,2019,0,5432,Drama
tt8961774,movie,La migración,0,2018,0,4740,"Comedy,Musical"
tt8961950,movie,Tampere Sinfonia,0,2018,,3480,Documentary
tt8962336,movie,Reveries,0,2018,0,2760,Comedy
tt8962486,movie,Thattum Purath Achuthan,0,2018,0,8520,"Comedy,Drama,Musical"
tt8962518,movie,Te lo dico Pianissimo,0,2018,0,5400,Comedy
tt8962996,movie,The Worm Has Turned,0,2018,0,4320,Documentary
tt8963184,movie,Animal House of Blues: 33.3 Special Edition,0,2018,0,5400,Documentary
,,60 Vayadu Maaniram,,,,,Drama
